"","dates","08212300","08211900","08211520","08189700","08189300","08177300","08189200","08189500","08164600","08164800","08115000","08068390","08068450"
"50",2016-09-19,6.65,0.1,1.14,4.17,0,0,0,2.75,2.25,2.47,3.83,4.87,14.5
"51",2016-09-20,6.35,0.07,1.47,3.81,0,0,0,2.47,1.93,2.39,4.66,8.6,18.2
"52",2016-09-21,6.36,0.04,1.11,3.94,0,0,0,2.41,1.69,2.48,10.4,5.6,29.8
"53",2016-09-22,6.14,0.06,1.37,3.89,0,0,0,2.41,1.7,2.68,4.24,4.8,18.6
"54",2016-09-23,6.2,0.05,1.71,3.89,0,0,0,3.56,1.85,2.8,3.61,3.1,17.3
"55",2016-09-24,6.18,0.04,2.77,3.93,0,0,0,3.45,2.68,7.01,4.05,3.7,15.7
"56",2016-09-25,6.01,0.06,2.95,3.92,0,0,0,4.2,2.36,9.92,40.3,6.6,20.2
"57",2016-09-26,14.5,0.02,169,5.87,0,0,0,6.75,1.76,379,66.4,9.45,48.7
"58",2016-09-27,5.37,0.01,123,6.24,0,0,0,9.02,1.45,628,7.57,6.57,26.6
"59",2016-09-28,5.01,0.04,60.4,5.81,0,0,0,5.06,1.31,35.8,4.2,5.05,19.3
"60",2016-09-29,4.99,0.04,17.9,4.47,0,0,0.12,3.89,1.15,8.82,3.52,3.93,16.1
"61",2016-09-30,4.95,0.03,6.83,4.07,0,0,0.53,3.18,0.96,3.63,2.97,3.2,12.9
"62",2016-10-01,4.9,0.03,3.88,3.96,0,0,0.23,2.76,0.82,2.18,2.96,2.79,10.6
"63",2016-10-02,4.89,0.06,2.63,3.87,0,0,0.08,2.55,0.77,1.73,3.02,2.7,10.4
"64",2016-10-03,5,0.07,2.04,3.8,0,0,0.02,2.4,0.86,1.35,3.06,2.79,10.3
"65",2016-10-04,4.95,0.06,2.03,3.65,0,0,0,2.34,0.88,1.17,2.98,3.4,9.77
"66",2016-10-05,4.46,0.02,1.59,3.71,0,0,0,2.34,0.84,1.14,2.86,2.8,11.7
"67",2016-10-06,4.21,0.01,1.44,3.83,0,0,0,2.18,0.78,1.13,3.33,2.9,12.4
"68",2016-10-07,10.6,0.01,1.43,4,0,0,0,2.22,0.88,1.07,8.8,2.5,12.3
"69",2016-10-08,5.97,0.02,2.34,4.16,0,0,0,2.12,4.68,1.06,4.42,2.67,10.2
"70",2016-10-09,5.01,0.04,3.32,3.73,0,0,0,2.09,4.56,0.88,3.45,2.84,8.01
"71",2016-10-10,3.09,0.02,2.46,3.73,0,0,0,1.8,2.19,0.94,3.15,3.04,6.53
"72",2016-10-11,4.98,0.03,1.9,3.53,0,0,0,1.65,1.2,0.89,3.13,3.72,8.66
"73",2016-10-12,5.14,0.07,1.67,3.56,0,0,0,1.73,0.88,0.85,2.98,3.9,12.4
"74",2016-10-13,5.22,0.02,1.51,3.69,0,0,0,1.75,1.61,0.95,2.88,3.85,11.8
"75",2016-10-14,5.25,0.06,1.68,3.71,0,0,0,1.64,1.61,1.13,3.14,3.98,12
"76",2016-10-15,5.12,0.05,2.19,3.82,0,0,0,1.48,1.17,1.19,4.57,4.2,11.8
"77",2016-10-16,5.14,0.08,1.6,3.7,0,0,0,1.42,0.97,0.89,3.17,4.28,11
"78",2016-10-17,5.11,0.1,1.55,3.41,0,0,0,1.53,0.97,0.95,3.02,4.23,10.8
"79",2016-10-18,4.95,0.11,2.22,3.56,0,0,0,1.79,0.71,0.92,3.25,4.11,10.5
"80",2016-10-19,5.04,0.13,1.37,3.72,0,0,0,1.6,0.53,1.01,3.19,6.4,21.9
"81",2016-10-20,5.47,0.1,1.31,3.86,0,0,0,1.61,0.44,0.92,3.2,3.77,32.8
"82",2016-10-21,5.36,0.04,2,3.92,0,0,0,1.47,0.33,0.65,5.14,3.39,15.2
"83",2016-10-22,5.33,0.04,1.74,3.84,0,0,0,1.35,0.29,0.67,3.67,3.16,8.67
"84",2016-10-23,5.28,0.04,1.74,3.9,0,0,0,1.34,0.28,0.67,3.06,3.34,9.42
"85",2016-10-24,5.4,0.04,1.96,3.98,0,0,0,1.39,0.27,0.65,3.1,3.52,10.2
"86",2016-10-25,5.33,0.05,2.37,4,0,0,0,1.29,0.26,0.69,3.08,3.63,10.3
"87",2016-10-26,5.34,0.07,1.78,4.51,0,0,0,1.46,0.24,0.68,3.08,3.77,9.79
"88",2016-10-27,5.76,0.07,1.59,4.32,0,0,0,1.34,0.23,0.66,2.69,3.64,8.99
"89",2016-10-28,5.54,0.03,1.54,4.07,0,0,0,1.26,0.21,0.61,2.78,3.59,9.49
"90",2016-10-29,6,0.08,1.45,4.12,0,0,0,1.75,0.21,0.65,2.88,3.84,9.17
"91",2016-10-30,6.9,0.11,1.44,4.2,0,0,0,1.58,0.21,0.65,3.07,3.98,8.83
"92",2016-10-31,6.82,0.08,1.44,4.01,0,0,0,1.63,0.2,0.68,3.05,4,9.74
"93",2016-11-01,6.04,0.12,1.4,4.09,0,0,0,4.07,0.24,0.72,3.19,16.4,17
"94",2016-11-02,5.98,0.07,1.4,4.21,0,0,0,5.14,0.27,0.85,4.02,7.69,39.8
"95",2016-11-03,5.68,0.09,1.42,4.27,0,0,0,3.68,0.25,0.73,NA,6.15,21.8
"96",2016-11-04,4.17,0.1,1.34,4.36,0,0,0,1.25,0.24,0.63,NA,5.26,15.7
"97",2016-11-05,5.37,0.08,1.32,4.18,0,0,0,0.97,7.97,0.63,NA,4.65,12.2
"98",2016-11-06,5.56,0.07,2.65,4.56,0,0,0,1.2,14.4,0.66,NA,17.4,21.7
"99",2016-11-07,6.25,0.14,1.37,5.4,0,0,0,1.2,7.98,0.69,NA,125,251
"100",2016-11-08,6.94,0.06,1.58,7.68,0,0,0,1.53,6.91,0.75,NA,35.8,107
"101",2016-11-09,2.86,0.06,1.59,7.02,0,0,0,1.36,10.3,0.71,NA,17.1,51.8
"102",2016-11-10,7.24,0.07,1.6,8.61,0,0,0,1.33,10.9,0.64,NA,11,31.9
"103",2016-11-11,6.78,0.08,1.56,4.47,0,0,0,1.33,7.56,0.56,NA,8.03,20.9
"104",2016-11-12,6.65,0.08,1.49,2.95,0,0,0,1.35,5.62,0.59,NA,6.52,17.6
"105",2016-11-13,6.78,0.08,1.48,2.74,0,0,0,1.23,4.29,0.61,3.09,5.58,15.2
"106",2016-11-14,6.07,0.11,1.45,2.74,0,0,0,1.33,3.51,0.63,3.14,5.04,14.5
"107",2016-11-15,6.21,0.17,1.87,2.74,0,0,0,1.39,2.88,0.54,3.14,5.03,14.7
"108",2016-11-16,6.58,0.12,1.43,2.65,0,0,0,1.28,2.28,0.51,3.26,4.4,15.2
"109",2016-11-17,6.39,0.11,1.44,2.62,0,0,0,1.12,1.86,0.45,3.05,4.1,14
"110",2016-11-18,5.8,0.18,6.17,2.9,0,0,0,1.6,47.3,0.68,5.81,4.23,14
"111",2016-11-19,5.02,0.09,6.5,3.59,0,0,0,2.8,37.9,0.69,33.4,4.1,12.6
"112",2016-11-20,5.54,0.19,37.8,7.42,0,0,0,6.99,14.7,0.64,7.39,3.96,8.03
"113",2016-11-21,6.28,0.4,13.2,4.42,0,0,0,10.4,9.24,0.7,4.57,3.82,9.4
"114",2016-11-22,7.16,0.5,5.67,3.14,0,0,0,7.1,7.53,0.66,3.53,3.9,11.4
"115",2016-11-23,8.9,0.6,3.57,2.91,0,0,0,5.13,4.46,0.65,3.84,17.2,80.5
"116",2016-11-24,8.72,0.8,2.57,2.9,0,0,0,3.76,2.36,0.57,4.06,6.81,39.3
"117",2016-11-25,8.71,0.6,2.09,2.93,0,0,0.01,3.31,1.6,0.59,3.11,5.69,21.3
"118",2016-11-26,8.96,0.81,1.86,3.1,0,0,0,2.47,1.22,0.67,3.12,4.87,15.9
"119",2016-11-27,9.1,0.94,1.69,2.94,0,0,0,2.15,0.93,0.66,3.01,4.39,14
"120",2016-11-28,9.41,1.06,1.66,3.23,0,0,0,2.13,0.63,0.69,2.97,4.14,15.2
"121",2016-11-29,3.32,1.13,1.61,3.55,0,0,0,1.9,0.4,0.62,3.03,4.06,14.7
"122",2016-11-30,1.9,1.04,1.54,3.74,0,0,0,1.8,0.3,0.52,3.15,3.89,13.4
"123",2016-12-01,9.51,1.11,1.45,3.42,0,0,0,1.53,0.24,0.45,2.98,3.78,9.74
"124",2016-12-02,9.56,0.81,1.41,3.3,0,0,0,1.53,0.24,0.51,2.61,3.78,8.98
"125",2016-12-03,23.8,1.13,1.73,3.38,0,0,0,1.83,0.75,0.7,56.9,173,278
"126",2016-12-04,49.1,16.7,56.6,7.76,0,0,28.9,37.3,22.6,1.41,378,209,360
"127",2016-12-05,7.03,23.2,421,62.8,0,0,41.2,288,166,19.3,783,238,412
"128",2016-12-06,0.62,6.1,374,30.4,0,0,48.8,729,223,110,347,125,245
"129",2016-12-07,0.15,1.21,136,9.64,0,0,28.4,402,85.3,37.3,96.6,45.3,111
"130",2016-12-08,0.25,0.6,80.3,4.29,0,0,13.2,112,50.5,11.7,40.7,22.2,60.5
"131",2016-12-09,0,0.56,52.6,2.8,0,0,6.29,45.5,34.1,4.48,19.7,11.8,34.6
"132",2016-12-10,0,0.5,25.6,2.5,0,0,3.28,27.7,25.8,1.94,10.7,7.37,25.1
"133",2016-12-11,0,0.49,9.54,2.45,0,0,1.78,20.1,21.7,1.2,7.2,5.1,22.5
"134",2016-12-12,0.03,0.52,4.62,2.36,0,0,0.99,16.2,19,0.98,5.81,3.92,21.9
"135",2016-12-13,0,0.55,3.1,2.36,0,0,0.6,13.3,17,0.98,5.07,3.88,21.2
"136",2016-12-14,0.05,0.56,2.93,2.46,0,0,0.33,10.9,15.7,0.95,4.37,2.89,21.7
"137",2016-12-15,0,0.55,1.77,2.48,0,0,0.18,9.24,14.2,0.89,3.94,2.5,19.8
"138",2016-12-16,0,0.55,1.84,2.69,0,0,0.1,8.41,13.6,0.92,3.67,2.29,17.9
"139",2016-12-17,0,0.56,1.9,2.58,0,0,0.06,7.85,14.2,0.92,3.58,2.22,19.8
"140",2016-12-18,0,0.54,1.43,2.53,0,0,0.02,6.83,12.9,0.98,3.21,2.01,20.8
"141",2016-12-19,0,0.54,1.16,2.3,0,0,0.01,6.4,10.2,0.82,3.01,1.89,13
"142",2016-12-20,0.15,0.54,1.25,2.1,0,0,0,6.09,10.1,0.83,2.99,1.77,12.6
"143",2016-12-21,0.08,0.32,1.46,2.19,0,0,0,5.86,12.5,0.88,2.9,1.79,13.2
"144",2016-12-22,0.08,0.34,1.63,2.35,0,0,0,5.89,13.9,0.97,2.58,1.77,15.1
"145",2016-12-23,0.08,0.58,1.75,2.31,0,0,0,5.82,13.6,1.03,2.65,1.81,15.7
"146",2016-12-24,0.8,0.58,2.02,2.14,0,0,0,5.59,13.1,0.89,2.95,1.76,16
"147",2016-12-25,0.03,0.54,1.92,2.19,0,0,0,5.52,13.5,0.86,2.82,1.7,12.9
"148",2016-12-26,0,0.55,1.95,2.33,0,0,0,5.21,12.6,0.96,2.61,1.72,11.3
"149",2016-12-27,0.08,0.56,2.18,2.34,0,0,0,5.35,12.1,0.99,2.88,1.74,11
"150",2016-12-28,0.12,0.57,2.9,2.33,0,0,0,5.29,15,0.92,2.76,1.6,8.93
"151",2016-12-29,0.19,0.56,2.29,2.24,0,0,0,5.68,12.9,0.83,2.86,1.57,9.42
"152",2016-12-30,0.06,0.55,2.24,2.26,0,0,0,4.95,10.1,0.78,2.69,1.46,5.63
"153",2016-12-31,0.05,0.54,1.68,2.62,0,0,0,4.83,9.6,0.74,3.02,2.6,10.9
"154",2017-01-01,0.59,0.53,1.91,3.44,0,0,0,4.88,11.2,0.77,3.23,2.05,14.2
"155",2017-01-02,0.01,0.58,1.85,2.97,0,0,0,4.93,10.5,0.67,3.16,191,307
"156",2017-01-03,0.1,0.57,1.82,2.52,0,0,0,4.74,8.52,0.67,3.09,71.9,207
"157",2017-01-04,0.02,0.57,1.82,2.42,0,0,0,4.49,7.02,0.66,2.73,23,76
"158",2017-01-05,0,0.39,2.03,2.56,0,0,0,4.61,6.52,0.65,2.51,10.7,40
"159",2017-01-06,0,0.53,1.82,2.4,0,0,0,4.46,5.83,0.63,2.77,6.44,27.3
"160",2017-01-07,0.01,0.53,1.36,2.37,0,0,0,4.11,4.86,0.6,2.86,4.43,15.1
"161",2017-01-08,0,0.54,1.19,2.35,0,0,0,4.02,4.23,0.7,2.93,3.38,9.15
"162",2017-01-09,0,0.36,1.44,2.32,0,0,0,4.55,4.44,0.66,3,2.75,8.09
"163",2017-01-10,0.01,0.34,1.77,2.66,0,0,0,4.89,4.61,0.72,2.69,2.45,7.78
"164",2017-01-11,0.02,0.42,2.18,2.8,0,0,0,5.08,4.4,0.72,2.71,2.22,8.38
"165",2017-01-12,0.04,0.27,2.55,2.98,0,0,0,5.42,4.24,0.71,2.9,2.05,8.08
"166",2017-01-13,1.25,0.61,2.65,3.44,0,0,0,5.49,4.08,0.71,2.95,2.41,10
"167",2017-01-14,3.66,0.6,2.38,4.29,0,0,0,5.46,3.86,0.71,2.91,2.06,12.2
"168",2017-01-15,4.44,0.43,2.3,5.86,0,0,0,5.28,3.87,0.72,3.04,3.08,11.9
"169",2017-01-16,4.23,0.58,2.28,4.63,0,0,0,5.25,4.78,0.75,2.92,7.46,37
"170",2017-01-17,4.25,0.65,2.14,5.4,0,0,0,5.63,21.1,0.77,3.06,62.2,235
"171",2017-01-18,3.73,0.68,3.77,7.08,0,0.43,0,5.22,231,0.78,1530,324,570
"172",2017-01-19,3.97,0.7,4.93,12.5,0,0.26,0,5.34,781,7.9,759,241,311
"173",2017-01-20,2.69,0.71,4.05,9.52,0,0.07,0,5.22,682,31.6,680,88.5,189
"174",2017-01-21,0.09,0.76,2.26,5.91,0,0.03,0,5.14,545,180,1170,139,261
"175",2017-01-22,0,0.75,1.85,4.75,0,0.02,0,19.5,172,124,297,43.3,130
"176",2017-01-23,0.08,0.8,1.81,3.83,0,0.01,0,30.6,73.6,28.2,80.7,18.5,67.1
"177",2017-01-24,0,0.65,2.49,3.79,0,0.01,0,19.7,41.9,12.5,35.8,10.4,44.5
"178",2017-01-25,0.08,0.5,1.39,4.02,0,0.01,0,14.7,26.4,6.83,20.6,7.05,34.7
"179",2017-01-26,0,0.31,1.15,3.99,0,0.01,0,10.7,16.7,3.87,12.4,5.11,25.5
"180",2017-01-27,0,0.55,1.77,4.01,0,0.01,0,8.11,10.7,2.88,8.02,3.98,21
