"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"NEOELMIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"NEOELMIS"	NA	1	"NEOELMIS"	"NEOELMIS"
"STENELMIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"STENELMIS"	NA	6	"STENELMIS"	"STENELMIS"
"CYPHON"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"SCIRTOIDEA"	"SCIRTIDAE"	NA	NA	NA	"CYPHON"	NA	4	"CYPHON"	"CYPHON"
"ELODES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"SCIRTOIDEA"	"SCIRTIDAE"	NA	NA	NA	"ELODES"	NA	1	"ELODES"	"ELODES"
"SCIRTES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"SCIRTOIDEA"	"SCIRTIDAE"	NA	NA	NA	"SCIRTES"	NA	1	"SCIRTES"	"SCIRTES"
"BEROSUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"BEROSINI"	NA	"BEROSUS"	NA	1	"BEROSUS"	"BEROSUS"
"HYDROBIUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"HYDROPHILINI"	NA	"HYDROBIUS"	NA	2	"HYDROBIUS"	"HYDROBIUS"
"HYDROPHILINAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	NA	NA	NA	NA	1	"HYDROPHILINAE"	NA
"SPHAERIDIINAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"SPHAERIDIINAE"	NA	NA	NA	NA	1	"SPHAERIDIINAE"	"SPHAERIDIINAE"
"HYDRAENA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	"HYDRAENINAE"	"HYDRAENINI"	NA	"HYDRAENA"	NA	2	"HYDRAENA"	"HYDRAENA"
