"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"STENONEMA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	"HEPTAGENIOIDEA"	"HEPTAGENIIDAE"	NA	NA	NA	"STENONEMA"	NA	1	"STENONEMA"	"STENONEMA"
"ISONYCHIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	"HEPTAGENIOIDEA"	"ISONYCHIIDAE"	NA	NA	NA	"ISONYCHIA"	NA	1	"ISONYCHIA"	"ISONYCHIIDAE"
"ISONYCHIIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	"HEPTAGENIOIDEA"	"ISONYCHIIDAE"	NA	NA	NA	NA	NA	1	"ISONYCHIIDAE"	"ISONYCHIIDAE"
"AMELETUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"AMELETIDAE"	NA	NA	NA	"AMELETUS"	NA	4	"AMELETUS"	"AMELETUS"
"AMETROPUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"AMETROPODIDAE"	NA	NA	NA	"AMETROPUS"	NA	1	"AMETROPUS"	"AMETROPUS"
"BAETIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"BAETIS"	NA	3	"BAETIS"	"BAETIS"
"BAETODES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"BAETODES"	NA	2	"BAETODES"	"BAETODES"
"CAMELOBAETIDIUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"CAMELOBAETIDIUS"	NA	1	"CAMELOBAETIDIUS"	"CAMELOBAETIDIUS"
"CENTROPTILUM"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"CENTROPTILUM"	NA	2	"CENTROPTILUM"	"CENTROPTILUM"
"CLOEON"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"CLOEON"	NA	1	"CLOEON"	"CLOEON"
"FALLCEON"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"FALLCEON"	NA	5	"FALLCEON"	"FALLCEON"
"PLAUDITUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"PLAUDITUS"	NA	4	"PLAUDITUS"	"PLAUDITUS"
"PROCLOEON"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"PROCLOEON"	NA	2	"PROCLOEON"	"PROCLOEON"
"PSEUDOCLOEON"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"PSEUDOCLOEON"	NA	2	"PSEUDOCLOEON"	"PSEUDOCLOEON"
"BAETIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	NA	NA	1	"BAETIDAE"	NA
"SIPHLONURUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"SIPHLONURIDAE"	NA	NA	NA	"SIPHLONURUS"	NA	1	"SIPHLONURUS"	"SIPHLONURUS"
"ERPETOGOMPHUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ANISOPTERA"	NA	NA	"GOMPHIDAE"	NA	NA	NA	"ERPETOGOMPHUS"	NA	2	"ERPETOGOMPHUS"	"ERPETOGOMPHUS"
"BRECHMORHOGA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ANISOPTERA"	NA	NA	"LIBELLULIDAE"	NA	NA	NA	"BRECHMORHOGA"	NA	2	"BRECHMORHOGA"	"BRECHMORHOGA"
"ERYTHEMIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ANISOPTERA"	NA	NA	"LIBELLULIDAE"	NA	NA	NA	"ERYTHEMIS"	NA	1	"ERYTHEMIS"	"ERYTHEMIS"
"CALOPTERYX"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"CALOPTERYGIDAE"	NA	NA	NA	"CALOPTERYX"	NA	1	"CALOPTERYX"	"CALOPTERYX"
"HETAERINA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"CALOPTERYGIDAE"	NA	NA	NA	"HETAERINA"	NA	1	"HETAERINA"	"HETAERINA"
"AMPHIAGRION"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"COENAGRIONIDAE"	NA	NA	NA	"AMPHIAGRION"	NA	3	"AMPHIAGRION"	"AMPHIAGRION"
"ARGIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"COENAGRIONIDAE"	NA	NA	NA	"ARGIA"	NA	7	"ARGIA"	"ARGIA"
"CHROMAGRION"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"COENAGRIONIDAE"	NA	NA	NA	"CHROMAGRION"	NA	2	"CHROMAGRION"	"CHROMAGRION"
"NEONEURA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"ODONATA"	"ZYGOPTERA"	NA	NA	"PROTONEURIDAE"	NA	NA	NA	"NEONEURA"	NA	2	"NEONEURA"	"NEONEURA"
"CORBICULA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"BIVALVIA"	"HETERODONTA"	NA	NA	"VENEROIDA"	NA	NA	"CORBICULOIDEA"	"CORBICULIDAE"	NA	NA	NA	"CORBICULA"	NA	7	"CORBICULA"	"CORBICULA"
"PISIDIUM"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"BIVALVIA"	"HETERODONTA"	NA	NA	"VENEROIDA"	NA	NA	"CORBICULOIDEA"	"PISIDIIDAE"	NA	NA	NA	"PISIDIUM"	NA	1	"PISIDIUM"	"PISIDIUM"
"CAMPELOMA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	"PROSOBRANCHIA"	NA	NA	"ARCHITAENIOGLOSSA"	NA	NA	NA	"VIVIPARIDAE"	NA	NA	NA	"CAMPELOMA"	NA	3	"CAMPELOMA"	"CAMPELOMA"
"HELICINA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	"PROSOBRANCHIA"	NA	NA	"NERITOPSINA"	NA	NA	NA	"HELICINIDAE"	NA	NA	NA	"HELICINA"	NA	1	"HELICINA"	"HELICINA"
"FERRISSIA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"ANCYLIDAE"	NA	NA	NA	"FERRISSIA"	NA	4	"FERRISSIA"	"FERRISSIA"
"FOSSARIA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"LYMNAEIDAE"	NA	NA	NA	"FOSSARIA"	NA	2	"FOSSARIA"	"FOSSARIA"
"PSEUDOSUCCINEA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"LYMNAEIDAE"	NA	NA	NA	"PSEUDOSUCCINEA"	NA	3	"PSEUDOSUCCINEA"	"PSEUDOSUCCINEA"
"PHYSA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PHYSIDAE"	NA	NA	NA	"PHYSA"	NA	6	"PHYSA"	"PHYSA"
"PHYSELLA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PHYSIDAE"	NA	NA	NA	"PHYSELLA"	NA	4	"PHYSELLA"	"PHYSELLA"
"BIOMPHALARIA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"BIOMPHALARIA"	NA	2	"BIOMPHALARIA"	"BIOMPHALARIA"
"GYRAULUS"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"GYRAULUS"	NA	1	"GYRAULUS"	"GYRAULUS"
"HELISOMA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"HELISOMA"	NA	2	"HELISOMA"	"HELISOMA"
"PLANORBULA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"BASOMMATOPHORA"	NA	NA	NA	"PLANORBIDAE"	NA	NA	NA	"PLANORBULA"	NA	1	"PLANORBULA"	"PLANORBULA"
"VALVATA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"HETEROSTROPHA"	NA	NA	NA	"VALVATIDAE"	NA	NA	NA	"VALVATA"	NA	2	"VALVATA"	"VALVATA"
"BITHYNIA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"NEOTAENIOGLOSSA"	NA	NA	NA	"BITHYNIIDAE"	NA	NA	NA	"BITHYNIA"	NA	5	"BITHYNIA"	"BITHYNIA"
"AMNICOLA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"NEOTAENIOGLOSSA"	NA	NA	NA	"HYDROBIIDAE"	NA	NA	NA	"AMNICOLA"	NA	5	"AMNICOLA"	"AMNICOLA"
"MELANOIDES"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"NEOTAENIOGLOSSA"	NA	NA	NA	"THIARIDAE"	NA	NA	NA	"MELANOIDES"	NA	7	"MELANOIDES"	"MELANOIDES"
"LINISA"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"STYLOMMATOPHORA"	NA	NA	NA	"POLYGYRIDAE"	NA	NA	NA	"LINISA"	NA	1	"LINISA"	"LINISA"
"STROBILOPS"	"BILATERIA"	"PROTOSTOMIA"	"LOPHOZOA"	"MOLLUSCA"	NA	NA	NA	"GASTROPODA"	NA	NA	NA	"STYLOMMATOPHORA"	NA	NA	NA	"STROBILOPSIDAE"	NA	NA	NA	"STROBILOPS"	NA	1	"STROBILOPS"	"STROBILOPS"
