LAT_GAGE,LNG_GAGE
30.190556,-95.491111
30.13105,-95.481329
29.47663,-95.812729
28.891376,-96.819149
28.725271,-96.76887
28.751656,-97.317214
28.483052,-97.656663
28.291951,-97.279159
28.282504,-97.620829
27.772526,-98.033613
27.52583333,-97.86722222
