predictor,estimate,df,r2,f.stat,p.value
rich,-0.639069298952457,2 8,0.056066820313351744,0.47517618000853745,0.5101110729256555
shannon,-0.6760085106123128,2 8,0.05738847656611996,0.4870594100700743,0.5050170621664227
simpson,-0.7068178844467905,2 8,0.05848152727615224,0.4969124151708932,0.50086430406742255
