predictor,estimate,df,r2,f.stat,p.value
rich,7.917845804988658,2 8,0.7645940506814934,25.98384800027259,9.328003477774369e-4
shannon,10.259961691109712,2 8,0.5763765049800025,10.884693823751093,0.010871878159569767
simpson,8.774128416386972,2 8,0.3860251518129922,5.029849713914204,0.05518962639181545
